Code,Occupation,Job Family,Cluster
49-3023.00,automotive service technicians mechanics,"Installation, Maintenance, and Repair",1
53-6051.01,aviation inspectors,Transportation and Material Moving,0
49-2091.00,avionics technicians,"Installation, Maintenance, and Repair",1
39-6011.00,baggage porters bellhops,Personal Care and Service,0
33-3011.00,bailiffs,Protective Service,0
51-3011.00,bakers,Production,0
39-5011.00,barbers,Personal Care and Service,0
35-3023.01,baristas,Food Preparation and Serving Related,0
35-3011.00,bartenders,Food Preparation and Serving Related,0
49-3091.00,bicycle repairers,"Installation, Maintenance, and Repair",0
43-3011.00,bill account collectors,Office and Administrative Support,0
43-3021.00,billing posting clerks,Office and Administrative Support,0
19-1021.00,biochemists biophysicists,"Life, Physical, and Social Science",0
17-2031.00,bioengineers biomedical engineers,Architecture and Engineering,9
51-8099.01,biofuels processing technicians,Production,1
11-3051.03,biofuels production managers,Management,7
11-9041.01,biofuelsbiodiesel technology product development managers,Management,7
19-1029.01,bioinformatics scientists,"Life, Physical, and Social Science",0
15-2099.01,bioinformatics technicians,Computer and Mathematical,1
25-1042.00,biological science teachers postsecondary,Educational Instruction and Library,2
19-1029.00,biological scientists,"Life, Physical, and Social Science",0
19-4021.00,biological technicians,"Life, Physical, and Social Science",1
19-1029.04,biologists,"Life, Physical, and Social Science",0
51-8013.03,biomass plant technicians,Production,1
11-3051.04,biomass power plant managers,Management,7
15-2041.01,biostatisticians,Computer and Mathematical,0
15-1299.07,blockchain engineers,Computer and Mathematical,9
47-2011.00,boilermakers,Construction and Extraction,0
43-3031.00,bookkeeping accounting auditing clerks,Office and Administrative Support,0
47-2021.00,brickmasons blockmasons,Construction and Extraction,0
53-6011.00,bridge lock tenders,Transportation and Material Moving,0
27-3011.00,broadcast announcers radio disc jockeys,"Arts, Design, Entertainment, Sports, and Media",0
27-4012.00,broadcast technicians,"Arts, Design, Entertainment, Sports, and Media",1
43-4011.00,brokerage clerks,Office and Administrative Support,0
11-9199.11,brownfield redevelopment specialists site managers,Management,7
13-2031.00,budget analysts,Business and Financial Operations,0
37-2019.00,building cleaning workers,Building and Grounds Cleaning and Maintenance,0
49-3031.00,bus truck mechanics diesel engine specialists,"Installation, Maintenance, and Repair",4
53-3051.00,bus drivers school,Transportation and Material Moving,0
53-3052.00,bus drivers transit intercity,Transportation and Material Moving,0
13-1199.04,business continuity planners,Business and Financial Operations,0
15-2051.01,business intelligence analysts,Computer and Mathematical,0
13-1199.00,business operations specialists,Business and Financial Operations,4
25-1011.00,business teachers postsecondary,Educational Instruction and Library,2
51-3021.00,butchers meat cutters,Production,0
13-1021.00,buyers purchasing agents farm products,Business and Financial Operations,3
51-7011.00,cabinetmakers bench carpenters,Production,0
17-3028.00,calibration technologists technicians,Architecture and Engineering,1
49-9061.00,camera photographic equipment repairers,"Installation, Maintenance, and Repair",5
27-4031.00,camera operators television video film,"Arts, Design, Entertainment, Sports, and Media",0
53-5021.00,captains mates pilots water vessels,Transportation and Material Moving,8
29-1212.00,cardiologists,Healthcare Practitioners and Technical,0
29-2031.00,cardiovascular technologists technicians,Healthcare Practitioners and Technical,1
25-2023.00,careertechnical education teachers middle school,Educational Instruction and Library,6
25-1194.00,careertechnical education teachers postsecondary,Educational Instruction and Library,2
25-2032.00,careertechnical education teachers secondary school,Educational Instruction and Library,6
43-5011.00,cargo freight agents,Office and Administrative Support,0
47-2031.00,carpenters,Construction and Extraction,0
